Date,Open,High,Low,Close,Adj Close,Volume
26-10-2018,1032.900024,1057,1022,1044.900024,1039.145508,9182613
29-10-2018,1046,1093.849976,1046,1087.800049,1081.809204,7671807
30-10-2018,1085.5,1085.5,1052.099976,1057,1051.178833,8806701
31-10-2018,1059,1065.849976,1047,1061.25,1055.405396,16457691
01-11-2018,1067.900024,1067.900024,1050,1056.25,1050.432983,9396027
02-11-2018,1067,1081,1063.150024,1074.900024,1068.980225,16796200
05-11-2018,1073.449951,1092.699951,1065,1090.300049,1084.29541,7582518
06-11-2018,1094,1112,1091.599976,1104.099976,1098.019409,8634266
07-11-2018,1115,1115,1106.699951,1110.699951,1104.583008,1283997
09-11-2018,1106.25,1113.800049,1085,1093.449951,1087.427979,10840462
12-11-2018,1097.699951,1098.800049,1074.550049,1080,1074.052124,5801720
13-11-2018,1074,1103,1070.050049,1099.449951,1093.39502,6811587
14-11-2018,1105.050049,1112.650024,1085.5,1097.949951,1091.903198,7787530
15-11-2018,1096.949951,1103,1086.5,1096.849976,1090.809326,6831740
16-11-2018,1097.949951,1129.949951,1097.099976,1127.400024,1121.191162,11031889
19-11-2018,1132.900024,1151.699951,1131,1150,1143.666626,7308981
20-11-2018,1145,1155.900024,1130,1137.400024,1131.135986,5719901
21-11-2018,1137.5,1145.5,1107.050049,1112.900024,1106.770996,7507812
22-11-2018,1114.5,1125.349976,1100.099976,1102.849976,1096.776245,5792568
26-11-2018,1109,1117.5,1097.400024,1109.75,1103.638306,6386556
27-11-2018,1107.900024,1130,1105.449951,1128.199951,1121.986572,6810228
28-11-2018,1132.449951,1157.75,1126.300049,1152.650024,1146.302002,8003964
29-11-2018,1161,1179.900024,1160,1168.5,1162.064697,12636169
30-11-2018,1172.300049,1186,1162.300049,1167.550049,1161.119995,10717448
03-12-2018,1174.900024,1174.900024,1148.5,1156.449951,1150.081055,5569578
04-12-2018,1158,1158,1142.199951,1152.300049,1145.953979,5192825
05-12-2018,1143.75,1158.800049,1139.300049,1155.150024,1148.78833,5819618
06-12-2018,1149,1149,1118.25,1123.650024,1117.461792,5866108
07-12-2018,1129.449951,1136.949951,1108.349976,1133.800049,1127.555908,7214078
10-12-2018,1110,1114.300049,1083.099976,1090.25,1084.245728,9381544
11-12-2018,1066,1102.099976,1055,1097.550049,1091.505493,13494665
12-12-2018,1099,1113.5,1087.75,1110.5,1104.384155,12605431
13-12-2018,1128,1128,1095.050049,1107.050049,1100.953247,9297518
14-12-2018,1103.099976,1114.900024,1091.800049,1112.199951,1106.074707,7221324
17-12-2018,1115.949951,1133,1111.5,1129.900024,1123.677368,5064357
18-12-2018,1123.300049,1139,1120.5,1136.400024,1130.141479,5870928
19-12-2018,1141.5,1147.300049,1133.199951,1136.800049,1130.539307,7368799
20-12-2018,1121,1132.5,1116.150024,1128.449951,1122.235229,5764731
21-12-2018,1125,1131.25,1096,1100.199951,1094.140869,8281941
24-12-2018,1100.900024,1103.199951,1086.550049,1089.150024,1083.151733,4144535
26-12-2018,1085.800049,1100,1065.650024,1098.349976,1092.301025,7210059
27-12-2018,1107.199951,1127,1104,1120.199951,1114.03064,12478000
28-12-2018,1125.5,1135.25,1121.199951,1125.550049,1119.351318,7666016
31-12-2018,1130.949951,1133.849976,1116.199951,1121.25,1115.074951,7222817
01-01-2019,1125.25,1127.300049,1110.099976,1121,1114.826294,4455850
02-01-2019,1114.5,1127,1101,1106.400024,1100.306763,7144970
03-01-2019,1107.5,1114.599976,1090.099976,1092.75,1086.731934,7446457
04-01-2019,1097.400024,1104.449951,1081.099976,1098.650024,1092.599487,8465141
07-01-2019,1107,1118.449951,1101,1104.75,1098.665771,5513559
08-01-2019,1105.099976,1109.949951,1096,1104.650024,1098.566406,5625153
09-01-2019,1112,1117,1098.699951,1110.75,1104.632813,5766805
10-01-2019,1107.75,1111,1103,1107.5,1101.400635,4080283
11-01-2019,1107.599976,1113.800049,1088.599976,1098.050049,1092.002808,6463903
14-01-2019,1095,1100.5,1086.400024,1096.800049,1090.759644,4111782
15-01-2019,1105,1132,1105,1129.650024,1123.428711,10062875
16-01-2019,1135,1145,1130.349976,1135.900024,1129.644287,6382777
17-01-2019,1144.449951,1147.900024,1130,1134.449951,1128.202148,7487963
18-01-2019,1148.800049,1189.900024,1135.25,1184.349976,1177.827393,25684142
21-01-2019,1194,1239.949951,1188.650024,1237.699951,1230.883545,22038534
22-01-2019,1232.849976,1246.949951,1219.599976,1235.150024,1228.347656,16552819
23-01-2019,1233.300049,1244.199951,1222,1226.300049,1219.546509,8829502
24-01-2019,1225,1253.199951,1220.099976,1247.449951,1240.579834,13155185
25-01-2019,1250.449951,1264.699951,1235.400024,1246,1239.137939,8550836
28-01-2019,1250.5,1255.949951,1222.400024,1229.550049,1222.778564,8569265
29-01-2019,1231,1231.650024,1201.349976,1210.650024,1203.982666,9328866
30-01-2019,1215,1225,1191.099976,1195.699951,1189.114868,7846940
31-01-2019,1202,1229.699951,1201,1227.150024,1220.391724,10185347
01-02-2019,1234,1255,1227.050049,1249.949951,1243.066162,9228965
04-02-2019,1247,1296.949951,1242.050049,1290.900024,1283.790649,11670570
05-02-2019,1292,1304.400024,1278.599976,1291.550049,1284.437134,9362406
06-02-2019,1296.25,1317.650024,1294.25,1310.25,1303.034058,9411585
07-02-2019,1310.25,1321.199951,1286.099976,1290.400024,1283.293457,9212227
08-02-2019,1284.800049,1300.5,1272.25,1277.699951,1270.66333,6505502
11-02-2019,1275.900024,1276,1251,1253.25,1246.348022,7523999
12-02-2019,1251.5,1272.349976,1251.5,1256.400024,1249.480713,6399485
14-02-2019,1241,1241,1218,1224.199951,1217.457886,6627360
15-02-2019,1229.75,1249.900024,1214,1244.449951,1237.596436,9597961
18-02-2019,1250,1252.5,1215,1220.099976,1213.380493,9649017
19-02-2019,1218,1239.699951,1211.199951,1216.099976,1209.402588,6244189
20-02-2019,1223.849976,1240,1219,1234.349976,1227.552002,6298179
21-02-2019,1236,1257.800049,1229.349976,1246.900024,1240.032959,10580178
22-02-2019,1244.599976,1245.300049,1226,1232.349976,1225.56311,8755865
25-02-2019,1236,1243,1220.650024,1232.300049,1225.513428,7852528
26-02-2019,1209.5,1234.800049,1206,1220.25,1213.529785,10131050
27-02-2019,1228.050049,1244.900024,1209,1223.5,1216.761841,11113182
28-02-2019,1233.75,1239.849976,1226.550049,1231.050049,1224.270264,11286916
01-03-2019,1237,1242.349976,1222.25,1226.050049,1219.297852,7922513
05-03-2019,1223.400024,1239.800049,1218.599976,1237.650024,1230.833984,7121509
06-03-2019,1239.800049,1273.099976,1235.099976,1264.800049,1257.834473,12038231
07-03-2019,1264,1279.800049,1258.150024,1270.25,1263.254395,8109259
08-03-2019,1266.050049,1274.449951,1262,1267.099976,1260.121704,6040052
11-03-2019,1270.050049,1312,1268,1304.099976,1296.917969,9718840
12-03-2019,1316.900024,1334,1314.25,1331.349976,1324.017822,11228736
13-03-2019,1337,1360,1328.099976,1347.300049,1339.880127,11236048
14-03-2019,1349.75,1362,1336.099976,1341.550049,1334.161743,10402048
15-03-2019,1345,1358.800049,1311.199951,1321.650024,1314.371338,15893093
18-03-2019,1331,1357.949951,1329,1350.050049,1342.61499,10105234
19-03-2019,1360,1380,1343.099976,1376.550049,1368.968994,9805318
20-03-2019,1377.800049,1388,1364,1375.449951,1367.875,9892823
22-03-2019,1372.5,1380.900024,1336.699951,1341.75,1334.360596,11465112
25-03-2019,1330.599976,1336.849976,1316.699951,1324.449951,1317.155762,7951992
26-03-2019,1330.300049,1371.599976,1330,1367.25,1359.720215,9479288
27-03-2019,1377.949951,1377.949951,1344.25,1349.25,1341.819336,10094174
28-03-2019,1350.25,1369.800049,1342.800049,1360,1352.510132,10482938
